Team,Nationality,Position,Age,Potential,Name
Brescia ,Italy,Mediocampista | Mediocampista Ofensivo,26,Bueno,Dimitri Bisoli
Club Nacional de Football ,Panama,Arquero,29,Bueno,Luis Mejía
1. FC Nürnberg ,Germany,Defensor Central | Mediocampista Defensivo | Mediocampista,26,Bueno,Johannes Geis
Fulham ,Jamaica,Defensor Central,28,Bueno,Michael Hector
Newcastle United ,England,Arquero,29,Bueno,Karl Darlow
Desportivo das Aves ,Iran,Delantero Centro | Extremo Derecho,26,Bueno,Mehrdad Mohammadi
CFR Cluj ,Romania,Defensor Central,27,Bueno,Andrei Burca
Sparta Praha ,Czech Republic,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Martin Hašek
FC Nantes ,France,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Abdoul-Kader Bamba
CFR Cluj ,Romania,Mediocampista Ofensivo | Extremo Derecho | Extremo Izquierdo,25,Bueno,Alexandru Paun
Vélez Sarsfield ,Uruguay,Defensor Central,27,Bueno,Matías de los Santos
Jagiellonia Bialystok ,Romania,Defensor Central,26,Bueno,Bogdan ?îru
LASK Linz ,Austria,Defensor Central,26,Bueno,Philipp Wiesinger
Sivasspor ,Turkey,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Emre Kilinç
Brentford ,England,Defensor Central,27,Bueno,Ethan Pinnock
LAFC ,Ghana,Mediocampista | Mediocampista Ofensivo | Extremo Derecho,23,Bueno,Latif Blessing
Alanyaspor ,Greece,Mediocampista Defensivo | Mediocampista,26,Bueno,Manolis Siopis
FC Lorient ,France,Delantero Centro,26,Bueno,Pierre-Yves Hamel
Gallos Blancos de Querétaro ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Jeison Lucumi
Celtic ,Bosnia & Herzegovina,Defensor Central,25,Bueno,Jozo Šimunovic
Free Agents ,Poland,Mediocampista Defensivo,27,Bueno,Jacek Góralski
Shakhtar Donetsk ,Ukraine,Mediocampista Defensivo,27,Bueno,Maksym Malyshev
Wuhan Zall Professional FC ,Ivory Coast,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Jean Evrard Kouassi
Club Necaxa ,Mexico,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,26,Bueno,Daniel Álvarez
Royal Antwerp FC ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Ivo Rodrigues
New York Red Bulls ,United States,Defensor Central,27,Bueno,Tim Parker
Racing Club ,Argentina,Defensor Central | Mediocampista Defensivo | Mediocampista,27,Bueno,Mauricio Martínez
Shenzen FC ,Colombia,Delantero Centro,26,Bueno,Harold Preciado
Seattle Sounders FC ,United States,Delantero Centro | Extremo Derecho | Extremo Izquierdo,25,Bueno,Jordan Morris
Club Atlético de San Luis ,Ecuador,Defensor Central,27,Bueno,Luis Fernando León
FC Zürich ,Morocco,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Mimoun Mahi
Moreirense FC ,Brazil,Defensor Central,28,Bueno,Iago
Unión de Santa Fe ,Argentina,Lateral Derecho | Mediocampista Derecho,26,Bueno,Ezequiel Bonifacio
Hull City ,Netherlands,Defensor Central,25,Bueno,Jordy de Wijs
Amiens SC ,DR Congo,Delantero Centro | Mediocampista Derecho | Extremo Derecho,25,Bueno,Chadrac Akolo
D.C. United ,Argentina,Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Yamil Asad
Toulouse Football Club ,Greece,Delantero Centro,24,Bueno,Efthymios Koulouris
Vitória Guimarães ,Portugal,Extremo Derecho | Extremo Izquierdo,25,Bueno,Rochinha
Club Atlético Lanús ,Argentina,Carrilero Derecho | Lateral Derecho | Mediocampista Derecho | Extremo Derecho,26,Bueno,Leonel Di Plácido
Atlético Tucumán ,Argentina,Defensor Central,28,Bueno,Jonathan Cabral
Fortuna Düsseldorf ,Germany,Mediocampista Defensivo | Mediocampista,26,Bueno,Marcel Sobottka
Crystal Palace ,Netherlands,Lateral Izquierdo | Defensor Central,23,Bueno,Jaïro Riedewald
PAOK ,Nigeria,Mediocampista Defensivo | Mediocampista,26,Bueno,Anderson Esiti
Vitória Guimarães ,Brazil,Delantero Centro,26,Bueno,Léo Bonatini
La Spezia ,Italy,Extremo Derecho | Extremo Izquierdo,26,Bueno,Federico Ricci
Stade de Reims ,France,Lateral Izquierdo | Mediocampista Izquierdo,26,Bueno,Hassane Kamara
Vitória Guimarães ,Venezuela,Lateral Derecho,26,Bueno,Víctor García
Free Agents ,Venezuela,Defensor Central,27,Bueno,Wilker Ángel
Club Atlético Central Córdoba ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Agustín Allione
Atlético Tucumán ,Argentina,Defensor Central,27,Bueno,Guillermo Ortíz
Monarcas Morelia ,Chile,Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Martín Rodríguez
Sassuolo ,Germany,Lateral Derecho | Lateral Izquierdo,25,Bueno,Jeremy Toljan
IFK Norrköping ,Sweden,Mediocampista,26,Bueno,Alexander Fransson
FC Utrecht ,Sweden,Mediocampista | Mediocampista Ofensivo,25,Bueno,Simon Gustafson
Club Atlético Aldosivi ,Argentina,Delantero Centro | Mediocampista Ofensivo | Mediapunta,26,Bueno,Alan Ruiz
Leicester City ,Ghana,Lateral Derecho | Mediocampista Defensivo,25,Bueno,Daniel Amartey
Rangers FC ,Northern Ireland,Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Jordan Jones
Besiktas JK ,Chile,Defensor Central,27,Bueno,Enzo Roco
KV Mechelen ,Belgium,Mediocampista Izquierdo,25,Bueno,Nikola Storm
Bologna ,Senegal,Lateral Derecho | Lateral Izquierdo,25,Bueno,Ibrahima Mbaye
Hammarby IF ,Sweden,Delantero Centro | Mediocampista Ofensivo | Extremo Izquierdo,25,Bueno,Muamer Tankovic
Norwich City ,England,Lateral Derecho | Lateral Izquierdo,26,Bueno,Sam Byram
1. FC Nürnberg ,Switzerland,Delantero Centro,26,Bueno,Michael Frey
Leeds United ,England,Delantero Centro,26,Bueno,Patrick Bamford
KV Mechelen ,Belgium,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,26,Bueno,Rob Schoofs
SV Zulte Waregem ,Burundi,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Saido Berahino
Aalborg BK ,Denmark,Defensor Central,27,Bueno,Jores Okore
Panathinaikos FC ,Morocco,Mediocampista | Mediocampista Ofensivo,26,Bueno,Yassin Ayoub
MKE Ankaragücü ,Greece,Carrilero Derecho | Lateral Derecho | Extremo Derecho,26,Bueno,Stelios Kitsiou
Fulham ,Netherlands,Lateral Izquierdo | Defensor Central,26,Bueno,Terence Kongolo
KV Kortrijk ,Belgium,Mediocampista Defensivo | Mediocampista,27,Bueno,Hannes Van Der Bruggen
Stoke City ,England,Mediocampista Ofensivo,26,Bueno,Nick Powell
Reading ,England,Defensor Central,27,Bueno,Liam Moore
Celtic ,Scotland,Arquero,28,Bueno,Scott Bain
Hannover 96 ,Germany,Delantero Centro,26,Bueno,Marvin Ducksch
SD Huesca ,Ivory Coast,Mediocampista Defensivo | Mediocampista,27,Bueno,Cheick Doukouré
Guadalajara ,Mexico,Arquero,28,Bueno,José Antonio Rodríguez
Free Agents ,Egypt,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,24,Bueno,Afsha
KSV Cercle Brugge ,Bosnia & Herzegovina,Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Dino Hotic
Heart of Midlothian ,Austria,Defensor Central | Mediocampista Defensivo | Mediocampista,27,Bueno,Peter Haring
Philadelphia Union ,England,Defensor Central,24,Bueno,Jack Elliott
Hokkaido Consadole Sapporo ,Japan,Defensor Central,24,Bueno,Ryosuke Shindo
Shimizu S-Pulse ,Brazil,Delantero Centro | Extremo Derecho | Extremo Izquierdo,25,Bueno,Carlinhos Junior
Amiens SC ,Mali,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Fousseni Diabaté
1. FC Nürnberg ,Austria,Mediocampista Derecho | Mediocampista Ofensivo | Mediapunta,26,Bueno,Nikola Dovedan
BSC Young Boys ,France,Lateral Izquierdo | Defensor Central,26,Bueno,Jordan Lefort
New England Revolution ,United States,Arquero,26,Bueno,Matt Turner
VfB Stuttgart ,Germany,Lateral Derecho,24,Bueno,Pascal Stenzel
Club Atlético de San Luis ,Spain,Defensor Central,26,Bueno,Unai Bilbao
Kilmarnock ,Scotland,Lateral Izquierdo | Defensor Central,24,Bueno,Stuart Findlay
Dinamo Zagreb ,Slovenia,Lateral Derecho | Mediocampista Derecho,24,Bueno,Petar Stojanovic
Fulham ,France,Delantero Centro | Extremo Derecho,25,Bueno,Aboubakar Kamara
SV Zulte Waregem ,France,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Jean-Luc Dompé
Huddersfield Town ,Benin,Delantero Centro,25,Bueno,Steve Mounié
Hamburger SV ,Germany,Arquero,25,Bueno,Julian Pollersbeck
Hamburger SV ,Germany,Defensor Central | Mediocampista Defensivo | Mediocampista,25,Bueno,Gideon Jung
Kayserispor ,Turkey,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Emre Tasdemir
Çaykur Rizespor ,Turkey,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,24,Bueno,Ogulcan Çaglayan
Sporting Charleroi ,Angola,Lateral Izquierdo | Mediocampista Izquierdo,25,Bueno,Núrio
Swansea City ,Scotland,Mediocampista Defensivo | Mediocampista,26,Bueno,Jay Fulton
Cagliari ,Italy,Lateral Derecho | Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Federico Mattiello
Club Atlético Huracán ,Argentina,Mediocampista Defensivo | Mediocampista,27,Bueno,Joaquín Arzura
Sheffield Wednesday ,England,Lateral Derecho | Defensor Central,25,Bueno,Dominic Iorfa
Chamois Niortais Football Club ,Benin,Arquero,26,Bueno,Saturnin Allagbé
Millwall ,England,Defensor Central,25,Bueno,Jake Cooper
Club Atlético Aldosivi ,Argentina,Lateral Izquierdo,25,Bueno,Lucas Villalba
Derby County ,United States,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,25,Bueno,Duane Holmes
Vancouver Whitecaps FC ,Canada,Arquero,26,Bueno,Maxime Crépeau
FC Midtjylland ,Australia,Mediocampista Derecho | Extremo Derecho,24,Bueno,Awer Mabil
Nottingham Forest ,Portugal,Defensor Central,26,Bueno,Tobias Figueiredo
Rayo Vallecano ,North Macedonia,Arquero,26,Bueno,Stole Dimitrievski
DSC Arminia Bielefeld ,Sweden,Defensor Central,26,Bueno,Joakim Nilsson
Cardiff City ,Scotland,Delantero Centro | Mediocampista Ofensivo,25,Bueno,Callum Paterson
Lokomotiv Moscow ,Montenegro,Delantero Centro,26,Bueno,Luka Dordevic
FC Nantes ,Peru,Mediocampista Izquierdo | Mediocampista Ofensivo | Mediapunta,26,Bueno,Cristian Benavente
Vitória Setúbal ,Brazil,Mediocampista | Mediocampista Ofensivo,26,Bueno,Carlinhos
Fulham ,England,Defensor Central,26,Bueno,Alfie Mawson
Fulham ,England,Arquero,28,Bueno,Marcus Bettinelli
SK Slavia Praha ,Czech Republic,Defensor Central | Mediocampista Defensivo,24,Bueno,Ladislav Takács
Free Agents ,Egypt,Lateral Derecho | Defensor Central,23,Bueno,Baher El Mohamady
CF Fuenlabrada ,Senegal,Delantero Centro,25,Bueno,Sekou Gassama
Sporting Charleroi ,Iran,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Ali Gholizadeh
Portimonense SC ,Japan,Lateral Derecho | Lateral Izquierdo,25,Bueno,Koki Anzai
Argentinos Juniors ,Colombia,Delantero Centro | Mediocampista Izquierdo,25,Bueno,Edwar López
CD Antofagasta ,Venezuela,Mediocampista Derecho | Extremo Derecho,24,Bueno,Eduard Bello
Kawasaki Frontale ,Japan,Lateral Derecho | Mediocampista Defensivo,25,Bueno,Hidemasa Morita
Gazisehir Gaziantep Futbol Kulübü ,Mali,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,25,Bueno,Souleymane Diarra
D.C. United ,Venezuela,Mediocampista Defensivo | Mediocampista,27,Bueno,Júnior Moreno
Olympiacos CFP ,Senegal,Defensor Central,24,Bueno,Ousseynou Ba
VfL Osnabrück ,Germany,Defensor Central | Mediocampista Defensivo,25,Bueno,Moritz Heyer
Rosenborg BK ,Norway,Mediocampista,25,Bueno,Kristoffer Zachariassen
Standard de Liège ,DR Congo,Defensor Central | Mediocampista Defensivo,24,Bueno,Merveille Bokadi
CD Tenerife ,Spain,Lateral Derecho,25,Bueno,Luis Pérez
Nottingham Forest ,France,Extremo Derecho | Extremo Izquierdo,24,Bueno,Adama Diakhaby
Al Fayha ,Ghana,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Samuel Owusu
New York City FC ,Costa Rica,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,26,Bueno,Ronald Matarrita
Portland Timbers ,Poland,Delantero Centro,25,Bueno,Jaroslaw Niezgoda
FC Seoul ,Korea Republic,Mediocampista | Mediocampista Ofensivo,23,Bueno,Han Chan Hee
Molde FK ,Norway,Mediocampista Defensivo | Mediocampista,24,Bueno,Fredrik Aursnes
SD Huesca ,Spain,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Javi Galán
Rangers FC ,Switzerland,Delantero Centro,25,Bueno,Florian Kamberi
Atlanta United ,Argentina,Mediocampista Defensivo | Mediocampista,25,Bueno,Eric Remedi
Lokomotiv Moscow ,Russia,Lateral Derecho | Mediocampista Derecho,26,Bueno,Dmitriy Zhivoglyadov
Stade Rennais FC ,France,Delantero Centro,24,Bueno,Jordan Siebatcheu
Willem II ,Netherlands,Lateral Derecho,24,Bueno,Bart Nieuwkoop
FC Emmen ,Peru,Defensor Central,25,Bueno,Miguel Araujo
CD Mirandés ,Spain,Mediocampista Ofensivo | Extremo Derecho | Extremo Izquierdo,25,Bueno,Merquelanz
Salerno ,Italy,Arquero,27,Bueno,Alessandro Micai
Cádiz CF ,France,Mediocampista Defensivo | Mediocampista,25,Bueno,Yann Bodiger
LDU Quito ,Uruguay,Delantero Centro | Extremo Derecho,25,Bueno,Rodrigo Aguirre
UD Almería ,Spain,Delantero Centro,24,Bueno,Juan Muñoz
West Bromwich Albion ,England,Lateral Derecho | Defensor Central,24,Bueno,Darnell Furlong
Dijon FCO ,Iceland,Arquero,25,Bueno,Rúnar Alex Rúnarsson
SpVgg Greuther Fürth ,Germany,Lateral Derecho | Mediocampista Defensivo,25,Bueno,Paul Seguin
Cádiz CF ,Spain,Delantero Centro | Mediocampista Izquierdo,25,Bueno,Nano Mesa
Gallos Blancos de Querétaro ,Colombia,Lateral Izquierdo | Defensor Central,26,Bueno,Alexis Pérez
Argentinos Juniors ,Argentina,Lateral Izquierdo,26,Bueno,Elias Gómez
UD Las Palmas ,Colombia,Delantero Centro | Mediocampista Izquierdo,25,Bueno,Juan José Narváez
BSC Young Boys ,Switzerland,Lateral Derecho,24,Bueno,Saidy Janko
Rayo Vallecano ,Spain,Lateral Izquierdo,25,Bueno,Saúl
Al Hazem ,Sweden,Delantero Centro,24,Bueno,Carlos Strandberg
1. FC Union Berlin ,Denmark,Delantero Centro | Mediocampista Ofensivo,24,Bueno,Marcus Ingvartsen
Unión La Calera ,Chile,Mediocampista Ofensivo,25,Bueno,Diego Rojas
Derby County ,England,Delantero Centro,25,Bueno,Jack Marriott
FC Bayern München II ,Ghana,Delantero Centro,26,Bueno,Kwasi Okyere Wriedt
Middlesbrough ,England,Delantero Centro | Extremo Izquierdo,24,Bueno,Ashley Fletcher
Unión Española ,Paraguay,Delantero Centro,25,Bueno,Mauro Caballero
Houston Dynamo ,Argentina,Mediocampista | Mediocampista Ofensivo,25,Bueno,Tomás Martínez
R. Sporting ,Spain,Defensor Central,26,Bueno,Borja López
Charlton Athletic ,Wales,Defensor Central,25,Bueno,Tom Lockyer
Sint-Truidense VV ,Spain,Lateral Izquierdo | Defensor Central,25,Bueno,Pol García
Hamburger SV ,Germany,Lateral Derecho | Mediocampista Defensivo | Mediocampista,24,Bueno,Jeremy Dudziak
CD Tenerife ,Spain,Arquero,26,Bueno,Adrián Ortolá
Kristiansund BK ,Republic of Ireland,Arquero,27,Bueno,Sean McDermott
FC Basel 1893 ,Sweden,Defensor Central,27,Bueno,Emil Bergström
CS Emelec ,Ecuador,Mediocampista Derecho | Extremo Derecho,24,Bueno,Robert Burbano
Barcelona Guayaquil ,Ecuador,Lateral Derecho | Mediocampista Derecho,21,Bueno,Byron Castillo
Sporting Charleroi ,Jamaica,Delantero Centro,23,Bueno,Shamar Nicholson
Fotbal Club FCSB ,Romania,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Ionu? Pan?îru
KV Oostende ,Zambia,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,23,Bueno,Fashion Sakala
Rayo Vallecano ,Spain,Defensor Central,25,Bueno,Catena
IFK Göteborg ,Georgia,Mediocampista Ofensivo | Mediapunta | Extremo Izquierdo,24,Bueno,Giorgi Kharaishvili
Atlético Tucumán ,Argentina,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,24,Bueno,Leonardo Heredia
SK Sturm Graz ,Austria,Defensor Central | Mediocampista Defensivo | Mediocampista,24,Bueno,Ivan Ljubic
Tigres U.A.N.L. ,Mexico,Defensor Central,24,Bueno,Eduardo Tercero
KSV Cercle Brugge ,Ivory Coast,Lateral Derecho | Defensor Central,23,Bueno,Kouadio-Yves Dabila
VfB Stuttgart ,Germany,Defensor Central | Mediocampista Defensivo | Mediocampista,23,Bueno,Atakan Karazor
Extremadura UD ,Spain,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista,24,Bueno,Olabe
FC Groningen ,Australia,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,24,Bueno,Ajdin Hrustic
Panathinaikos FC ,Greece,Defensor Central,24,Bueno,Achilléas Poúngouras
Arsenal de Sarandí ,United States,Mediocampista | Mediocampista Ofensivo,23,Bueno,Joel Soñora
Reading ,Ivory Coast,Delantero Centro | Mediocampista Derecho,24,Bueno,Yakou Meité
Sanfrecce Hiroshima ,Japan,Mediapunta,23,Bueno,Tsukasa Morishima
Yokohama F·Marinos ,Japan,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,22,Bueno,Keita Endo
Sint-Truidense VV ,Argentina,Mediocampista Defensivo | Mediocampista,23,Bueno,Santiago Colombatto
Konyaspor ,Uganda,Delantero Centro | Mediocampista Ofensivo,22,Bueno,Farouk Miya
Once Caldas ,Colombia,Delantero Centro | Mediocampista Izquierdo,25,Bueno,David Lemos
Sint-Truidense VV ,Korea Republic,Mediocampista Ofensivo | Extremo Derecho | Extremo Izquierdo,22,Bueno,Lee Seung Woo
New York Red Bulls ,United States,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Alex Muyl
U Craiova 1948 Club Sportiv ,Romania,Delantero Centro | Extremo Derecho | Extremo Izquierdo,23,Bueno,Andrei Ivan
Santos Laguna ,Mexico,Mediocampista Derecho,24,Bueno,Brayan Garnica
Girona FC ,Spain,Carrilero Derecho | Lateral Derecho | Extremo Derecho,24,Bueno,Jordi Calavera
1. FC Union Berlin ,Germany,Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Joshua Mees
Cosenza ,France,Delantero Centro | Mediocampista | Mediocampista Ofensivo,24,Bueno,Zinédine Machach
Sparta Rotterdam ,Netherlands,Delantero Centro | Extremo Izquierdo,24,Bueno,Patrick Joosten
Portsmouth ,Republic of Ireland,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Ronan Curtis
América de Cali ,Colombia,Lateral Derecho,24,Bueno,Cristian Arrieta
Holstein Kiel ,Germany,Lateral Derecho,24,Bueno,Jannik Dehm
Huddersfield Town ,Slovenia,Defensor Central | Mediocampista Defensivo,24,Bueno,Jon Gorenc Stankovic
New England Revolution ,Poland,Delantero Centro,24,Bueno,Adam Buksa
Ascoli ,Italy,Delantero Centro | Mediocampista Ofensivo | Mediapunta,24,Bueno,Leonardo Morosini
Audax Italiano ,Chile,Mediocampista | Mediocampista Ofensivo,25,Bueno,Iván Ledezma
VfL Osnabrück ,Germany,Arquero,23,Bueno,Nils Körber
Fútbol Club Juárez ,Mexico,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Gael Sandoval
Hamburger SV ,Germany,Lateral Derecho | Defensor Central,25,Bueno,Jan Gyamerah
FC Augsburg ,Germany,Carrilero Derecho | Lateral Derecho | Extremo Derecho,24,Bueno,Raphael Framberger
Girona FC ,Spain,Mediocampista Defensivo | Mediocampista,25,Bueno,Gumbau
SV Zulte Waregem ,Norway,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,23,Bueno,Henrik Bjørdal
Audax Italiano ,Chile,Delantero Centro | Extremo Izquierdo,24,Bueno,Nicolás Orellana
Blackburn Rovers ,England,Delantero Centro | Mediocampista Derecho,24,Bueno,Sam Gallagher
Valenciennes FC ,Belgium,Delantero Centro,25,Bueno,Baptiste Guillaume
CD Tenerife ,Spain,Lateral Izquierdo | Defensor Central,25,Bueno,Alex Muñoz
Watford ,Austria,Arquero,26,Bueno,Daniel Bachmann
CD Tenerife ,Serbia,Defensor Central,25,Bueno,Nikola Šipcic
Villarreal CF ,Spain,Defensor Central,22,Bueno,Javi Fernández
UD Las Palmas ,Spain,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Kirian
Gençlerbirligi SK ,Turkey,Mediocampista Defensivo | Mediocampista,22,Bueno,Berat Ayberk Özdemir
UD Almería ,Spain,Lateral Izquierdo | Defensor Central,23,Bueno,Iván Martos
Club Brugge KV ,Belgium,Mediocampista Derecho,22,Bueno,Thibault Vlietinck
Amiens SC ,Ghana,Defensor Central,22,Bueno,Nicholas Opoku
FC Luzern ,Nigeria,Delantero Centro | Mediocampista Derecho,24,Bueno,Blessing Eleke
Club Libertad ,Paraguay,Delantero Centro,22,Bueno,Sebastián Ferreira
SV Zulte Waregem ,Germany,Arquero,22,Bueno,Eike Bansen
CD Leganés ,Spain,Delantero Centro | Lateral Derecho | Mediocampista Derecho,24,Bueno,Aitor Ruibal
Sint-Truidense VV ,Japan,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Tatsuya Ito
Club Atlético Banfield ,Argentina,Mediocampista Defensivo,24,Bueno,Nicolás Linares
Stade Malherbe Caen ,Slovenia,Mediocampista Izquierdo,23,Bueno,Jan Repas
Montpellier Hérault SC ,Serbia,Carrilero Izquierdo | Extremo Izquierdo,24,Bueno,Mihailo Ristic
Perugia ,Italy,Arquero,23,Bueno,Guglielmo Vicario
R. Zaragoza ,Ghana,Delantero Centro,24,Bueno,Raphael Dwamena
Atlanta United ,United States,Carrilero Derecho | Lateral Derecho | Mediocampista Derecho | Extremo Derecho,22,Bueno,Brooks Lennon
SV Werder Bremen ,Austria,Lateral Izquierdo | Defensor Central,22,Bueno,Marco Friedl
FC Zürich ,Switzerland,Mediocampista Defensivo | Mediocampista,21,Bueno,Vasilije Janjicic
Deportivo Toluca ,Ecuador,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Aníbal Chalá
KAS Eupen ,Belgium,Arquero,23,Bueno,Ortwin De Wolf
Elche CF ,Spain,Lateral Izquierdo,24,Bueno,Andoni López
KV Kortrijk ,Ghana,Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Eric Ocansey
West Bromwich Albion ,England,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,22,Bueno,Kyle Edwards
Huachipato FC ,Chile,Arquero,24,Bueno,Yerko Urra
Club Bolívar ,Bolivia,Lateral Derecho | Mediocampista Derecho | Extremo Derecho,24,Bueno,Erwin Saavedra
Nîmes Olympique ,Senegal,Mediocampista Defensivo | Mediocampista,24,Bueno,Sidy Sarr
Waasland-Beveren ,Poland,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,22,Bueno,Jakub Piotrowski
